index,month,day,time,temperature,irradiance,
761,2,1,1800,12.4,1,
762,2,1,1900,12.4,1,
763,2,1,2000,12,1,
764,2,1,2100,10.8,1,
765,2,1,2200,8.3,0,
766,2,1,2300,9.3,0,
767,2,1,2400,9.7,0,
768,2,2,100,8.8,0,
769,2,2,200,10.2,0,
770,2,2,300,10.2,0,
771,2,2,400,10.6,0,
772,2,2,500,10,0,
773,2,2,600,9.6,0,
774,2,2,700,10.2,0,
775,2,2,800,9.6,10,
776,2,2,900,9.8,94,
777,2,2,1000,10.1,227,
778,2,2,1100,11.1,106,
779,2,2,1200,12.3,408,
780,2,2,1300,13.1,378,
781,2,2,1400,13.7,334,
782,2,2,1500,14.1,283,
783,2,2,1600,13.3,139,
784,2,2,1700,12.1,38,
785,2,2,1800,11.4,1,
786,2,2,1900,11,1,
787,2,2,2000,10.7,1,
788,2,2,2100,11.1,0,
789,2,2,2200,11.2,0,
790,2,2,2300,11.1,1,
791,2,2,2400,11.5,1,
792,2,3,100,11.5,1,
793,2,3,200,10.4,0,
794,2,3,300,9.9,0,
795,2,3,400,8.8,0,
796,2,3,500,7.9,0,
797,2,3,600,7.9,0,
798,2,3,700,9.2,0,
799,2,3,800,10.3,26,
800,2,3,900,10.6,116,
801,2,3,1000,12.1,309,
802,2,3,1100,12.4,196,
803,2,3,1200,13.4,507,
804,2,3,1300,13.6,631,
805,2,3,1400,12.8,93,
806,2,3,1500,11.8,95,
807,2,3,1600,9,49,
808,2,3,1700,8.5,15,
809,2,3,1800,8.2,0,
810,2,3,1900,7.4,0,
811,2,3,2000,7.4,0,
812,2,3,2100,7.5,0,
813,2,3,2200,7.8,0,
814,2,3,2300,10.1,0,
815,2,3,2400,10.3,0,
816,2,4,100,10,0,
817,2,4,200,9.6,0,
818,2,4,300,8,0,
819,2,4,400,7.7,0,
820,2,4,500,6.9,0,
821,2,4,600,6.8,0,
822,2,4,700,6.7,0,
823,2,4,800,7.2,24,
824,2,4,900,9.6,105,
825,2,4,1000,11,105,
826,2,4,1100,12.2,348,
827,2,4,1200,13.3,776,
828,2,4,1300,12.9,231,
829,2,4,1400,12.5,297,
830,2,4,1500,12.1,171,
831,2,4,1600,11.2,49,
832,2,4,1700,10.6,19,
833,2,4,1800,10.3,1,
834,2,4,1900,9.7,1,
835,2,4,2000,8.7,0,
836,2,4,2100,9.1,0,
837,2,4,2200,9.2,0,
838,2,4,2300,9,0,
839,2,4,2400,9.7,0,
840,2,5,100,9.6,0,
841,2,5,200,9.1,0,
842,2,5,300,9.1,0,
843,2,5,400,8.6,0,
844,2,5,500,8.4,0,
845,2,5,600,7.7,0,
846,2,5,700,8.6,0,
847,2,5,800,9,23,
848,2,5,900,10.1,225,
849,2,5,1000,12,397,
850,2,5,1100,13.1,496,
851,2,5,1200,13.8,569,
852,2,5,1300,14.2,366,
853,2,5,1400,13.8,313,
854,2,5,1500,13.6,270,
855,2,5,1600,12.8,193,
856,2,5,1700,11.6,37,
857,2,5,1800,10.8,1,
858,2,5,1900,9.9,1,
859,2,5,2000,8.7,0,
860,2,5,2100,8.2,0,
861,2,5,2200,7.4,0,
862,2,5,2300,7.5,0,
863,2,5,2400,8.1,0,
864,2,6,100,6.7,0,
865,2,6,200,5.9,0,
866,2,6,300,5.8,0,
867,2,6,400,5.5,0,
868,2,6,500,5.4,0,
869,2,6,600,5.2,0,
870,2,6,700,4.5,0,
871,2,6,800,4.1,20,
872,2,6,900,4.5,93,
873,2,6,1000,5.4,210,
874,2,6,1100,6.2,264,
875,2,6,1200,7.2,288,
876,2,6,1300,7.1,251,
877,2,6,1400,7.5,190,
878,2,6,1500,7.4,149,
879,2,6,1600,6.8,98,
880,2,6,1700,6.5,25,
881,2,6,1800,5.6,0,
882,2,6,1900,4.8,0,
883,2,6,2000,4.2,0,
884,2,6,2100,4.7,0,
885,2,6,2200,4.1,0,
886,2,6,2300,3.7,0,
